Line,Word,Speaker,LineText
2251,gruch,Gawain,I schal gruch þe no grwe for grem þat fallez.
2251,grwe,Gawain,I schal gruch þe no grwe for grem þat fallez.
2251,grem,Gawain,I schal gruch þe no grwe for grem þat fallez.
2259,grene,Narrator,"THEN þe gome in þe grene grayþed hym swyþe,"
2259,grayþed,Narrator,"THEN þe gome in þe grene grayþed hym swyþe,"
2260,grymme,Narrator,Gederez vp hys grymme tole Gawayn to smyte;
2265,glyfte,Narrator,"Bot Gawayn on þat giserne glyfte hym bysyde,"
2266,glydande,Narrator,"As hit com glydande adoun on glode hym to schende,"
2266,glode,Narrator,"As hit com glydande adoun on glode hym to schende,"
2292,grayþely,Narrator,"Gawayn grayþely hit bydez, and glent with no membre,"
2292,glent,Narrator,"Gawayn grayþely hit bydez, and glent with no membre,"
2294,grounde,Narrator,Þat raþeled is in roché grounde with rotez a hundreth.
2295,grene,Narrator,"Þen muryly efte con he mele, þe mon in þe grene:"
2299,gryndelly,Narrator,Gawayn ful gryndelly with greme þenne sayde:
2299,greme,Narrator,Gawayn ful gryndelly with greme þenne sayde:
2313,grece,Narrator,"Þe scharp schrank to þe flesche þurȝ þe schyre grece,"
2338,gryndel,Green Knight,"'Bolde burne, on þis bent be not so gryndel."
2369,gret,Narrator,"Þat oþer stif mon in study stod a gret whyle,"
2370,greme,Narrator,So agreued for greme he gryed withinne;
2370,gryed,Narrator,So agreued for greme he gryed withinne;
2396,grene,Green Knight,"For hit is grene as my goune. Sir Gawayn, ȝe maye"
2399,grene,Green Knight,Of þe chaunce of þe grene chapel at cheualrous knyȝtez.
2458,grete,Green Knight,Þat rennes of þe grete renoun of þe Rounde Table;
2460,greued,Green Knight,For to haf greued Gaynour and gart hir to dyȝe
2461,glopnyng,Green Knight,With glopnyng of þat ilke gome þat gostlych speked
2470,grete,Green Knight,As any gome vnder God for þy grete trauþe.'
2477,grene,Narrator,And þe knyȝt in þe enker-grene
2480,gryngolet,Narrator,"On Gryngolet, þat þe grace hade geten of his lyue;"
2480,grace,Narrator,"On Gryngolet, þat þe grace hade geten of his lyue;"
2490,grete,Narrator,Þer wakned wele in þat wone when wyst þe grete
2502,groned,Narrator,He groned for gref and grame;
2502,gref,Narrator,He groned for gref and grame;
2502,grame,Narrator,He groned for gref and grame;
2517,grene,Gawain,"A bende abelef hym aboute of a bryȝt grene,"
